,gpwr,in-hand delta,game-weighted in-hand delta,distance-one delta,gihwr,gnswr,cs bias,cs var,cs mean,deck gihwr,deck gnswr,deck ihd form,deck ihd meas,deck ihdd
Benthic Criminologists,0.5259843325994573,0.004244425570477328,-0.015560476523660105,-0.01758319496792693,0.5302287581699346,0.522602989427634,0.011643431028394097,19.108539771454836,18.05490614813982,0.5391162576105386,0.5151432303532915,0.012322908967609488,0.013131925011081291,-0.0008090160434718035
Bishop of the Bloodstained,0.4618834080717489,-0.036351493178131855,-0.04754500315563576,-0.07566397208663422,0.425531914893617,0.4883720930232558,-0.005472094747032069,10.88359893319227,16.272300469483568,0.4593999449490779,0.46358993758275013,-0.003659967111768517,-0.0024834631226710036,-0.0011765039890975133
Bite Down on Crime,0.551451381931939,0.016544865337803194,0.010359430665809799,0.005356559967961694,0.5679962472697422,0.539503887449093,0.0063877001295047945,13.305535334395103,16.656188202085847,0.5565887266599856,0.5477879891396616,0.005102714303384416,0.005137344728046611,-3.463042466219507e-05
Blood Spatter Analysis,0.5447258463375118,0.0253913411624882,0.019890567977837392,0.003308686552900064,0.5701171875,0.5250491902527622,0.007630821724161433,13.980294955794939,16.788503151754632,0.5509415937477768,0.5402334310247313,0.006354416322560291,0.006215747410265093,0.0001386689122951975
Bolrac-Clan Basher,0.5362559679248767,0.0011795990854325256,0.0019388554653969603,-0.011119282320907198,0.5374355670103093,0.5354162017406828,-0.003660125948557424,12.811961404529935,16.18706954661352,0.5333860565986971,0.5382046668696543,-0.002896966140387452,-0.0028699113261796416,-2.705481420781043e-05
Branch of Vitu-Ghazi,0.5234626018082642,-0.005535045641368308,-0.009846791193227622,-0.02169007025291103,0.5179275561668959,0.5272349010213088,0.0030540271279195117,13.766091370995877,16.63648489603766,0.5260251940770557,0.5216386124683431,0.0025270973258571783,0.0025625922687915192,-3.5494942934340915e-05
Break Out,0.5038969840731955,-0.019809881895641035,-0.020313143417204138,-0.04104782215471159,0.48408710217755446,0.5173591348890154,-0.0008951974165456817,10.166997260161232,15.877703206562266,0.5033620082395884,0.5042490132456843,-0.0005732233159240383,-0.0005349758336070654,-3.824748231697297e-05
Bubble Smuggler,0.5357990213039395,-0.007438208744151131,-0.013058366921129383,-0.008683499698207253,0.5283608125597884,0.5416336241078509,0.005171499044797181,16.324776482714075,17.47745736139484,0.5403116128045152,0.5323086464665945,0.004830426087799402,0.004512591500575702,0.0003178345872236997
Burden of Guilt,0.4752475247524752,-0.03024752475247522,-0.020102393222213577,-0.07167229468842418,0.445,0.49508196721311476,0.0012716696423429213,12.057447500833321,16.01792828685259,0.4760845383759733,0.47468824841027335,0.0009572455111775322,0.0008370136234980841,0.00012023188767944812
Burden of Proof,0.5215444584913611,-0.0037519750352492665,-0.008097470359715087,-0.022874191264893762,0.5177924834561118,0.5242302787392967,0.00295816353448745,15.953260843701262,17.326497972239675,0.5242565129284902,0.51947500150915,0.002723709924510691,0.0027120544371290745,1.1655487381616574e-05
